,UNIT,DATEn,TIMEn,Hour,DESCn,ENTRIESn_hourly,EXITSn_hourly,maxpressurei,maxdewpti,mindewpti,minpressurei,meandewpti,meanpressurei,fog,rain,meanwindspdi,mintempi,meantempi,maxtempi,precipi,thunder,dayofweek
0,R001,1-May-2011,1:00:00,1,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,#VALUE!
1,R001,1-May-2011,5:00:00,5,REGULAR,217,553,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
2,R001,1-May-2011,9:00:00,9,REGULAR,890,1262,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
3,R001,1-May-2011,13:00:00,13,REGULAR,2451,3708,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
4,R001,1-May-2011,17:00:00,17,REGULAR,4400,2501,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
5,R001,1-May-2011,21:00:00,21,REGULAR,3372,2122,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
6,R002,1-May-2011,1:00:00,1,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
7,R002,1-May-2011,5:00:00,5,REGULAR,42,66,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
8,R002,1-May-2011,9:00:00,9,REGULAR,50,125,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
9,R002,1-May-2011,13:00:00,13,REGULAR,316,716,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
10,R002,1-May-2011,17:00:00,17,REGULAR,633,968,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
11,R002,1-May-2011,21:00:00,21,REGULAR,639,566,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
12,R003,1-May-2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
13,R003,1-May-2011,4:00:00,4,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
14,R003,1-May-2011,12:00:00,12,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
15,R003,1-May-2011,16:00:00,16,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,
16,R003,1-May-2011,20:00:00,20,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0,